A_id	B_id	label	select	user_id
8	1	anger	B	1226406441
8	7	anger	B	1226406441
8	4	anger	A	1226406441
5	3	anger	B	1226406441
6	5	anger	A	1226406441
2	1	anger	A	1226406441
4	6	anger	B	1226406441
3	9	anger	A	1226406441
5	6	anger	B	1226406441
1	3	anger	B	1226406441
5	1	anger	B	1226406441
8	6	anger	B	1226406441
3	1	anger	B	1226406441
6	7	anger	A	1225112866
8	3	anger	B	1225112866
7	4	anger	A	1225112866
8	9	anger	A	1225112866
6	9	anger	A	1225112866
2	6	anger	A	1225112866
5	1	anger	B	1225112866
7	4	anger	B	1225112866
3	9	anger	A	1225112866
6	2	anger	B	1225112866
3	7	anger	A	1225112866
2	5	anger	A	1225112866
1	9	anger	A	1225112866
9	2	anger	B	1225112866
5	6	anger	B	1225112866
3	4	anger	A	1225538905
2	3	anger	A	1225538905
2	6	anger	A	1225538905
7	3	anger	B	1225538905
4	3	anger	B	1225538905
4	2	anger	B	1225538905
4	6	anger	B	1225538905
9	7	anger	B	1225538905
4	2	anger	B	1225538905
8	1	anger	B	1225538905
5	8	anger	A	1225538905
4	2	anger	B	1225538905
7	1	anger	B	1225538905
8	5	anger	A	1225538905
8	4	anger	B	1225538905
2	6	anger	A	1224964811
3	7	anger	B	1224964811
6	7	anger	A	1224964811
7	9	anger	A	1224964811
5	8	anger	B	1224964811
4	6	anger	B	1224964811
1	2	anger	B	1224964811
3	1	anger	B	1224964811
5	4	anger	A	1224964811
6	4	anger	A	1224964811
2	8	anger	A	1224964811
3	6	anger	B	1224964811
5	3	anger	A	1224964811
8	6	anger	B	1224964811
7	2	anger	B	1224964811
3	9	anger	A	1225510095
3	5	anger	B	1225510095
7	4	anger	B	1225510095
5	4	anger	B	1225510095
2	7	anger	A	1225510095
1	4	anger	B	1225510095
4	3	anger	B	1225510095
2	8	anger	A	1225510095
5	7	anger	A	1225510095
7	5	anger	B	1225510095
9	8	anger	A	1225510095
6	9	anger	A	1225510095
4	9	anger	A	1225510095
7	6	anger	B	1225510095
4	3	anger	B	1225510095
7	6	anger	B	1225432594
4	9	anger	A	1225432594
6	2	anger	B	1225432594
6	2	anger	B	1225432594
9	5	anger	A	1225432594
6	2	anger	B	1225432594
5	6	anger	B	1225432594
9	1	anger	B	1225432594
9	2	anger	B	1225432594
9	6	anger	B	1225432594
5	4	anger	B	1225432594
6	3	anger	A	1225432594
2	5	anger	A	1225432594
6	4	anger	A	1225432594
5	4	anger	B	1225432594
6	3	anger	B	1225994978
4	5	anger	B	1225994978
1	8	anger	B	1225994978
1	7	anger	B	1225994978
6	1	anger	A	1225994978
7	9	anger	A	1225994978
2	4	anger	A	1225994978
7	8	anger	B	1225994978
4	1	anger	A	1225994978
4	2	anger	B	1225994978
1	8	anger	A	1225994978
3	1	anger	A	1225994978
5	6	anger	B	1225994978
3	1	anger	A	1225994978
8	3	anger	B	1225994978
3	8	anger	B	1226477513
8	9	anger	A	1226477513
3	9	anger	B	1226477513
8	2	anger	B	1226477513
4	7	anger	B	1226477513
2	1	anger	A	1226477513
7	4	anger	A	1226477513
2	6	anger	A	1226477513
3	4	anger	A	1226477513
5	3	anger	B	1226477513
3	2	anger	B	1226477513
7	9	anger	A	1226477513
2	1	anger	A	1226477513
7	4	anger	A	1226477513
4	2	anger	B	1226477513
9	4	anger	B	1225169890
2	4	anger	A	1225169890
5	9	anger	A	1225169890
9	4	anger	B	1225169890
1	4	anger	B	1225169890
2	7	anger	A	1225169890
8	1	anger	B	1225169890
9	1	anger	B	1225169890
3	2	anger	B	1225169890
2	6	anger	A	1225169890
2	9	anger	A	1225169890
6	2	anger	B	1225169890
2	3	anger	A	1225169890
7	5	anger	A	1225169890
4	7	anger	B	1225169890
5	2	anger	A	1226253631
2	6	anger	A	1226253631
5	2	anger	B	1226253631
4	2	anger	B	1226253631
4	6	anger	B	1226253631
1	9	anger	A	1226253631
8	5	anger	B	1226253631
1	4	anger	B	1226253631
2	9	anger	A	1226253631
4	8	anger	A	1226253631
2	7	anger	B	1226253631
7	4	anger	A	1226253631
5	6	anger	B	1226253631
1	8	anger	A	1226253631
7	2	anger	B	1226253631
2	3	anger	B	1225605228
3	6	anger	B	1225605228
6	3	anger	B	1225605228
8	7	anger	B	1225605228
7	6	anger	B	1225605228
4	5	anger	B	1225605228
4	6	anger	B	1225605228
3	9	anger	B	1225605228
8	2	anger	B	1225605228
3	1	anger	B	1225605228
1	3	anger	A	1225605228
3	8	anger	B	1225605228
8	1	anger	A	1225605228
5	3	anger	B	1225605228
2	8	anger	B	1225605228
4	9	anger	A	1225892583
3	1	anger	A	1225892583
2	1	anger	A	1225892583
1	3	anger	B	1225892583
1	5	anger	A	1225892583
9	2	anger	B	1225892583
3	6	anger	B	1225892583
5	7	anger	B	1225892583
3	1	anger	A	1225892583
8	9	anger	B	1225892583
3	1	anger	A	1225892583
1	7	anger	B	1225892583
9	4	anger	B	1225892583
9	3	anger	A	1225892583
3	1	anger	A	1225892583
6	7	anger	A	1228202042
6	9	anger	A	1228202042
2	4	anger	B	1228202042
5	6	anger	B	1228202042
8	4	anger	B	1228202042
6	9	anger	A	1228202042
3	7	anger	A	1228202042
5	4	anger	B	1228202042
7	3	anger	B	1228202042
5	3	anger	B	1228202042
9	6	anger	B	1228202042
9	1	anger	A	1228202042
1	6	anger	B	1228202042
3	9	anger	A	1228202042
6	1	anger	A	1228202042
4	8	anger	A	1224959205
4	3	anger	B	1224959205
3	8	anger	A	1224959205
9	5	anger	B	1224959205
5	4	anger	A	1224959205
2	9	anger	A	1224959205
